Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
NIFTY 50,"18,398.25","18,417.65","18,354.70","18,407.95",4.55,0.02,689.55,"5,622.17","18,427.95","15,183.40",1.65,6.33
EICHERMOT,"3,515.05","3,583.80","3,515.05","3,563.00",55.05,1.57,3.59,127.37,"3,864.10","2,159.55",32.73,1.37
DRREDDY,"4,433.65","4,544.95","4,393.20","4,499.95",66.25,1.49,2.41,108.37,"4,931.05","3,654.00",-7.67,3.8
KOTAKBANK,"1,914.00","1,929.00","1,913.95","1,927.85",15.45,0.81,13.96,268.57,"2,108.00","1,631.00",-8.08,3.75
ADANIPORTS,915,916,906.05,914.15,7.25,0.8,32.13,293.08,987.85,651.95,21.92,16.27
MARUTI,"9,160.00","9,252.50","9,160.00","9,234.80",72.6,0.79,1.16,106.61,"9,769.00","6,536.55",23.08,5.86
CIPLA,"1,120.95","1,136.45","1,119.55","1,127.50",8.75,0.78,6.35,71.82,"1,180.10",850,20.18,1.75
TCS,"3,338.90","3,367.90","3,321.45","3,357.00",24.4,0.73,6.3,211.27,"4,043.00","2,926.10",-5.52,7.88
BAJAJ-AUTO,"3,757.00","3,797.00","3,757.00","3,790.45",26.3,0.7,0.54,20.54,"4,131.75","3,027.05",5.26,4.45
COALINDIA,233.35,235.5,230.4,233.6,1.45,0.62,46.25,107.75,263.4,139.15,46.23,-1.85
ICICIBANK,912.55,918.1,910.1,917.25,5.55,0.61,35.28,322.5,943.25,642.15,18.62,3.62
INFY,"1,597.15","1,604.75","1,593.50","1,602.15",8.15,0.51,12.84,205.43,"1,953.90","1,355.00",-10.35,7.53
ULTRACEMCO,"6,986.95","7,035.00","6,972.10","6,999.95",35.4,0.51,1.12,78.13,"8,172.55","5,157.05",-13.05,11.62
WIPRO,399,400.5,396.5,399.05,1.9,0.48,16.97,67.69,726.8,372.4,-39.44,6.38
ONGC,142.8,143.3,141.2,143,0.65,0.46,52.95,75.33,194.95,119.85,-9.38,11.89
HDFCBANK,"1,618.65","1,628.50","1,612.00","1,626.45",7.45,0.46,12.37,200.24,"1,722.10","1,271.60",4.44,12.44
TECHM,"1,066.00","1,075.00","1,059.00","1,070.75",3.8,0.36,7.08,75.71,"1,838.00",943.7,-32.19,4.64
ADANIENT,"4,057.30","4,096.00","4,050.00","4,071.80",14,0.35,6.87,280.32,"4,096.00","1,528.80",132.73,26.74
SBIN,599.95,603.3,597.1,602.75,1.9,0.32,31.73,190.61,622.7,425,18.99,10.87
GRASIM,"1,736.00","1,749.95","1,715.10","1,737.40",3.9,0.22,2.38,41.34,"1,929.80","1,276.60",-6.38,2.73
HCLTECH,"1,107.50","1,111.00","1,102.05","1,105.50",1.6,0.14,5.9,65.34,"1,359.40",877.35,-5.58,11.15
TITAN,"2,659.00","2,678.20","2,653.05","2,659.45",2.8,0.11,1.78,47.45,"2,791.00","1,825.05",4.73,1.31
HDFC,"2,650.00","2,682.45","2,650.00","2,677.90",2.4,0.09,10.6,282.1,"3,021.10","2,026.00",-10.76,13.99
POWERGRID,215.95,216,213.45,215.8,-0.2,-0.09,19.41,41.64,248.35,182,14.6,1.86
M&M,"1,288.95","1,295.00","1,281.35","1,290.50",-1.2,-0.09,6.21,80.05,"1,364.85",671.15,39,4.92
AXISBANK,858,861.6,856.2,857.45,-1.2,-0.14,19.47,167.15,919.95,618.25,16.94,5.32
HEROMOTOCO,"2,730.55","2,734.95","2,709.05","2,726.10",-4.65,-0.17,1.07,29.26,"2,938.60","2,146.85",1.22,6.75
BPCL,308.9,308.95,306.35,308.05,-0.85,-0.28,3.26,10.02,430.05,288.05,-27.75,3.88
RELIANCE,"2,610.00","2,615.95","2,593.50","2,599.35",-7.95,-0.3,13.81,359.36,"2,856.15","2,180.00",0.84,7.91
LT,"1,986.00","2,004.80","1,985.05","1,989.85",-6.7,-0.34,2.18,43.34,"2,078.55","1,456.35",2.2,5.66
SUNPHARMA,"1,007.10","1,021.20","1,007.10","1,012.40",-3.65,-0.36,2.92,29.64,"1,055.60",733.7,24.88,3.31
NESTLEIND,"19,992.15","20,026.70","19,825.00","19,980.00",-75.55,-0.38,0.09,18.76,"21,050.00","16,000.00",2.58,5.6
NTPC,172.1,172.95,170.85,171.3,-0.8,-0.46,15.95,27.35,181.85,119.1,24.9,1.69
ASIANPAINT,"3,079.30","3,079.30","3,051.00","3,065.00",-14.3,-0.46,1.87,57.26,"3,590.00","2,560.00",-3.27,-4.15
